party;last_name;position
R;Agnew;vice_president
D;Johnson;president
D;Bentsen;vice_president
D;Biden;president
R;Bush;president
D;Carter;president
R;Cheney;vice_president
D;Clinton;president
R;Dole;president
D;Dukakis;president
D;Edwards;vice_president
D;Ferraro;vice_president
R;Ford;president
R;Goldwater;president
D;Gore;president
D;Harris;vice_president
D;Humphrey;president
D;Johnson;vice_president
D;Kaine;vice_president
R;Kemp;vice_president
D;Kennedy;president
D;Kerry;president
AI;LeMay;vice_president
D;Lieberman;vice_president
R;Lodge;vice_president
R;McCain;president
D;McGovern;president
R;Miller;vice_president
D;Mondale;president
D;Muskie;vice_president
R;Nixon;president
D;Obama;president
R;Palin;vice_president
R;Pence;vice_president
I;Perot;president
R;Quayle;vice_president
R;Reagan;president
R;Romney;president
R;Ryan;vice_president
D;Shriver;vice_president
I;Stockdale;vice_president
R;Trump;president
AI;Wallace;president
