gutenberg_id,text,title,linenumber,chapter
55,1.  The Cyclone,The Wonderful Wizard of Oz,1,1
55,,The Wonderful Wizard of Oz,2,1
55,,The Wonderful Wizard of Oz,3,1
55,"Dorothy lived in the midst of the great Kansas prairies, with Uncle",The Wonderful Wizard of Oz,4,1
55,"Henry, who was a farmer, and Aunt Em, who was the farmer's wife.  Their",The Wonderful Wizard of Oz,5,1
55,"house was small, for the lumber to build it had to be carried by wagon",The Wonderful Wizard of Oz,6,1
55,"many miles.  There were four walls, a floor and a roof, which made one",The Wonderful Wizard of Oz,7,1
55,"room; and this room contained a rusty looking cookstove, a cupboard for",The Wonderful Wizard of Oz,8,1
55,"the dishes, a table, three or four chairs, and the beds.  Uncle Henry",The Wonderful Wizard of Oz,9,1
55,"and Aunt Em had a big bed in one corner, and Dorothy a little bed in",The Wonderful Wizard of Oz,10,1
55,"another corner.  There was no garret at all, and no cellar--except a",The Wonderful Wizard of Oz,11,1
55,"small hole dug in the ground, called a cyclone cellar, where the family",The Wonderful Wizard of Oz,12,1
55,"could go in case one of those great whirlwinds arose, mighty enough to",The Wonderful Wizard of Oz,13,1
55,crush any building in its path.  It was reached by a trap door in the,The Wonderful Wizard of Oz,14,1
55,"middle of the floor, from which a ladder led down into the small, dark",The Wonderful Wizard of Oz,15,1
55,hole.,The Wonderful Wizard of Oz,16,1
55,,The Wonderful Wizard of Oz,17,1
55,"When Dorothy stood in the doorway and looked around, she could see",The Wonderful Wizard of Oz,18,1
55,nothing but the great gray prairie on every side.  Not a tree nor a,The Wonderful Wizard of Oz,19,1
55,house broke the broad sweep of flat country that reached to the edge of,The Wonderful Wizard of Oz,20,1
55,the sky in all directions.  The sun had baked the plowed land into a,The Wonderful Wizard of Oz,21,1
55,"gray mass, with little cracks running through it.  Even the grass was",The Wonderful Wizard of Oz,22,1
55,"not green, for the sun had burned the tops of the long blades until",The Wonderful Wizard of Oz,23,1
55,they were the same gray color to be seen everywhere.  Once the house,The Wonderful Wizard of Oz,24,1
55,"had been painted, but the sun blistered the paint and the rains washed",The Wonderful Wizard of Oz,25,1
55,"it away, and now the house was as dull and gray as everything else.",The Wonderful Wizard of Oz,26,1
55,,The Wonderful Wizard of Oz,27,1
55,"When Aunt Em came there to live she was a young, pretty wife.  The sun",The Wonderful Wizard of Oz,28,1
55,"and wind had changed her, too.  They had taken the sparkle from her",The Wonderful Wizard of Oz,29,1
55,eyes and left them a sober gray; they had taken the red from her cheeks,The Wonderful Wizard of Oz,30,1
55,"and lips, and they were gray also.  She was thin and gaunt, and never",The Wonderful Wizard of Oz,31,1
